#RA2000 DEC2000
155.99872 -57.80464
155.99952 -57.79890
155.99956 -57.80283
155.99954 -57.80416
156.00303 -57.79902
156.00291 -57.80015
156.00335 -57.80290
156.00345 -57.80753
156.00412 -57.79688
156.00428 -57.80123
156.00444 -57.79929
156.00561 -57.79736
156.00632 -57.80450
156.00658 -57.79239
156.00657 -57.79238
156.00689 -57.78850
156.00689 -57.78852
156.00810 -57.79306
156.00809 -57.79306
156.00859 -57.80272
156.00933 -57.79139
156.00927 -57.80229
156.01003 -57.79954
156.01020 -57.80839
156.01058 -57.78517
156.01059 -57.78517
156.01022 -57.79052
156.01023 -57.79052
156.01035 -57.79698
156.01185 -57.78929
156.01155 -57.79045
156.01160 -57.79044
156.01149 -57.79885
156.01168 -57.80086
156.01222 -57.78748
156.01223 -57.78749
156.01270 -57.78174
156.01271 -57.78175
156.01280 -57.79940
156.01277 -57.80990
156.01350 -57.78835
156.01352 -57.78836
156.01384 -57.78610
156.01385 -57.78611
156.01449 -57.78425
156.01442 -57.80229
156.01502 -57.78317
156.01491 -57.78963
156.01486 -57.79085
156.01506 -57.79231
156.01508 -57.79230
156.01499 -57.79375
156.01497 -57.79375
156.01532 -57.78324
156.01522 -57.79897
156.01557 -57.81118
156.01589 -57.78742
156.01601 -57.78741
156.01572 -57.81057
156.01718 -57.79058
156.01722 -57.79059
156.01778 -57.78623
156.01777 -57.78623
156.01819 -57.79322
156.01828 -57.81256
156.01923 -57.80311
156.01902 -57.80925
156.01990 -57.80678
156.02059 -57.79911
156.02046 -57.80528
156.02130 -57.78619
156.02130 -57.78620
156.02107 -57.78957
156.02106 -57.80670
156.02106 -57.80854
156.02162 -57.81427
156.02233 -57.81715
156.02232 -57.81715
156.02280 -57.81303
156.02348 -57.81135
156.02378 -57.79583
156.02356 -57.81551
156.02354 -57.81551
156.02426 -57.81010
156.02464 -57.79609
156.02520 -57.79855
156.02518 -57.80115
156.02510 -57.81602
156.02533 -57.79078
156.02533 -57.79079
156.02561 -57.80821
156.02533 -57.81714
156.02534 -57.81713
156.02570 -57.79350
156.02570 -57.79350
156.02609 -57.78755
156.02611 -57.78755
156.02641 -57.81436
156.02679 -57.79414
156.02720 -57.81831
156.02723 -57.81830
156.02767 -57.78774
156.02768 -57.78775
156.02736 -57.79148
156.02737 -57.79149
156.02753 -57.81966
156.02752 -57.81965
156.02803 -57.79867
156.02833 -57.79098
156.02834 -57.79098
156.02893 -57.79363
156.02892 -57.79363
156.02892 -57.79875
156.02872 -57.81426
156.02924 -57.79691
156.02965 -57.79082
156.02947 -57.79310
156.03012 -57.80937
156.03017 -57.81427
156.03015 -57.81430
156.03087 -57.80784
156.03079 -57.81682
156.03080 -57.81682
156.03108 -57.79777
156.03117 -57.80551
156.03216 -57.79026
156.03190 -57.80206
156.03258 -57.79458
156.03270 -57.80921
156.03352 -57.80011
156.03379 -57.82141
156.03379 -57.82141
156.03475 -57.81918
156.03476 -57.81917
156.03537 -57.80878
156.03566 -57.79514
156.03565 -57.79515
156.03608 -57.79197
156.03770 -57.81534
156.03776 -57.79635
156.03771 -57.81534
156.03800 -57.82190
156.03801 -57.82189
156.03842 -57.79544
156.03843 -57.79546
156.03827 -57.79978
156.03831 -57.82215
156.03829 -57.82216
156.03915 -57.81418
156.03914 -57.81419
156.03942 -57.82281
156.03944 -57.82280
156.03991 -57.79617
156.04060 -57.80360
156.04041 -57.81807
156.04097 -57.81479
156.04096 -57.81480
156.04140 -57.79703
156.04109 -57.80185
156.04141 -57.80948
156.04190 -57.79908
156.04194 -57.80192
156.04212 -57.81587
156.04212 -57.81588
156.04264 -57.81165
156.04299 -57.82026
156.04300 -57.82027
156.04366 -57.80014
156.04478 -57.81533
156.04479 -57.81533
156.04603 -57.79834
156.04619 -57.81883
156.04616 -57.81886
156.04646 -57.82307
156.04646 -57.82306
156.04702 -57.80866
156.04728 -57.81201
156.04709 -57.81785
156.04712 -57.81785
156.04749 -57.79866
156.04762 -57.81897
156.04765 -57.81897
156.04772 -57.80601
156.04787 -57.80789
156.04806 -57.81609
156.04807 -57.81609
156.04839 -57.81794
156.04841 -57.81794
156.04949 -57.81452
156.04951 -57.81452
156.05198 -57.81516
156.05562 -57.80515
156.01454 -57.77898
156.01455 -57.77898
156.01508 -57.77989
156.01502 -57.77989
156.01631 -57.78169
156.01829 -57.77699
156.01829 -57.77699
156.01910 -57.77812
156.01911 -57.77812
156.01909 -57.78004
156.01910 -57.78004
156.01989 -57.77668
156.01993 -57.77668
156.02024 -57.77590
156.02172 -57.77876
156.02173 -57.77876
156.02209 -57.76796
156.02212 -57.77489
156.02213 -57.77490
156.02227 -57.78087
156.02228 -57.78088
156.02244 -57.76896
156.02245 -57.76896
156.02294 -57.77094
156.02292 -57.77093
156.02345 -57.77069
156.02386 -57.76761
156.02390 -57.76761
156.02416 -57.77834
156.02421 -57.77833
156.02445 -57.77175
156.02446 -57.77175
156.02489 -57.77057
156.02539 -57.76603
156.02541 -57.76603
156.02545 -57.78542
156.02593 -57.76954
156.02594 -57.76954
156.02580 -57.78071
156.02615 -57.77574
156.02708 -57.77051
156.02709 -57.77051
156.02735 -57.76357
156.02737 -57.76357
156.02757 -57.78196
156.02758 -57.78196
156.02829 -57.75894
156.02819 -57.76183
156.02820 -57.76183
156.02819 -57.78176
156.02848 -57.78599
156.02849 -57.78600
